THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
One is useful for city dwellers and brings a variety of benefits. The capability for doing such things is given the name “profession” and [examples are] calligraphy and goldsmithing.,أحدهما نافع لسكان المدن وعائد بنوع من أنواع الخير. والقدرة على هذا تُخص باسم الصناعة والكتابة والصياغة.
,
"The second type is of no intrinsic use and has no beneficial results. Examples are: climbing up a steep wooden pole, swallowing stones, or walking on roof slates.","والضرب الثاني ما لا نفع في ضمنه، ولا خير في ثمراته، مثل أن يتمهر الإنسان في صعود الخشب الطول وابتلاع الأحجار والمشي على قراميد السطوح."
,
"Actions of the latter sort must not be called a profession nor should they be regarded as noble or elevated, for they bring no benefit but can, on the contrary, be harmful and bring evil consequences to the performer.","فما يجري هذا المجرى لا يجب أن يُسمى صناعةً، ولا أن يُظن به شرفٌ ورتبة، إذا كان لا يحوي نفعًا، بل خليقٌ بأن يورث ضررًا ويصير على متعاطيه وبالًا."
,
"Professions, on the other hand, bring prestige to the practitioner and distinguish him from the common people not to mention animals that are bereft of the faculty of speech.","فأما الصناعات، فهي خصوصًا تفيد الإنسان الشرفَ، وتخرجه عن مشاركة الأغمار من الناس، فضلًا عن الحيوانات العادمة للنطق"
"By mastering a skill, man expresses his obedience to God, the Almighty and Exalted; he escapes being branded with the stamp of unfairness, and seeks to attain a share of the happiness ordained to humans.","وبها يصير الإنسان مطيعًا للبارئ عز وعلا، ومتخلصًا من وصمة الجور، وآخذًا ببعض أهداب السعادة المختصة بالإنسان."
,
"When God, the Almighty and Exalted, specifically bestowed upon man the distinctive feature of the intellect and made it a means for a better life in this world and for a good reward in the next.","فإن الله عز وجل لما خصَّ الإنسان بمزيَّة العقل، وجعل العقل ذريعةً له إلى حسن المعاش في الدنيا وحسن المعاد في الأخرى"
"and when He found that such an objective cannot be achieved by an individual on his own, but that it needs cooperation and solidarity, He made man a city dweller by nature and implanted in him a desire for sociability, togetherness.","وعلم أن كمال ذلك لا يتأتى له الشخص الواحد، بل يضطر فيه إلى التعاون والترافد، جعل الإنسان مدنيًّا بالطبع، وركز في شوقًا إلى الاستيناس والاجتماع"
solidarity and harmony. People who dwell close together in one city tend to have varying professions or skills.,"وإلى التلازم والاتفاق. والناس المجتمعون في مدينة واحدة، من سبيلهم أن يزاولوا الصناعات والحرف"
each specialising in a profession or occupation so that all would benefit and complement is each other.,"ويختص كل واحدٍ منهم بمهنةٍ أو عمل حتى ينتفع كل واحدٍ بالآخر، ويصير بعضهم كمالًا لبعض"
"Thus everyone attains the measure of happiness ordained to them by their Creator. They are then safe from the stigma of unfairness that would follow them if they were unproductive while others produced for them, and they were idle while others worked for them.","فتحصل لجميعهم السعادة التي أريدت منهم، ويكون قد انتهوا إلى غرض خالقهم، واحتموا من سمة الجور، بأن يُصنع لهم ولا يَصنعوا ويُتعب لأجلهم ولا يتعبوا."
,
"It is essential, therefore, that every person should take up a particular craft so that he can be part of the city. But he should not scorn a lowly employment if he is unable to find a better one.","فواجبٌ إذًا على كل إنسان أن يتعلق بصناعةٍ من الصناعات، حتى يكون جزءً من أجزاء المدينة، ولا يأنف من وضيعتها، إذا لم يتمكن من الرفيعة."
"for a city is like a human body and its individual citizens are like the parts of that body. Since the parts of a body cannot all play leading roles, such as those performed by the heart, the brain and the liver.","وذلك أن المدينة كالبدن الواحد، وأشخاص الناس بمنزلة أعضاء ذلك البدن. وكما لا يمكن أن تكون الأعضاء كلها رئيسة في أفعالها كالقلب والدماغ والكبد"
"it is inescapable that some parts of the body, like the hair and fingernails, should have humble roles. Similarly, not all individuals can enjoy a noble employment, such as those in administration or calligraphy: some are bound to be employed in menial tasks, like weaving and guard duty.","بل لا بد أن يكون خسيسة كالشعر والظفار، كذلك لا يمكن أن يكون أفعال الأشخاص كلها شريفة، كالسياسية والكتابة، بل لا بد لهم من أفعال وضيعة، كالحياكة والحراسة."
,
"Every part of the body, however small its role and limited its benefit, is not altogether without nobility and rank, for its absence would cause a loss and precipitate a need.","وكما أن شيئًا من أعضاء البدن لا يخلو من شرفٍ ومرتبة، وإن كان غناؤه يسيرًا، ونفعه حقيرًا، وذلك أنه إذا عدم، أدخل على البدن نقصًا وأورثه احتياجًا"
"In the same way, a person who has menial skills is not without rank or merit because, without his services, the city would suffer, and disorder would result in the same proportion.","كذلك لا يخلو صاحب الصناعة الحقيرة من رتبةٍ وفضيلة. لأن المدينة إذا عدمت منها، نقصت بعدمه، وظهر الخلل فيها بحسبه."
,
"Professionals enjoy a privileged place in society. They are free from want, able to earn their sustenance, and get a well-deserved income that does not vanish but keeps coming in without cease.","وأما أصحاب الصناعات فهذه حالهم، وهم مع ذلك يأمنون الفقر ويستجرّون القوت، ويكون ما يصل إليهم مستحقًا لا ينبو عنهم، ومستمرًا لا يزايلهم."
,
"As for the idle who rely upon luck and despise professions, they play no part in society and are equivalent to a damaged organ in the body.","وأما البطَّالون الذين يعولون على البخت، ويزرون بالصناعات، فقد عدموا رتبة شيءٍ من أجزاء المدينة، وحلوا منها محلَّ العضو الفاسد من البدن"
"They thrive on perpetuating their destitution and their poverty. If luck should smile upon one of them which is rare he would be getting an income in name only, because it is undeserved and subject to decline and complete loss.","وحصلوا في ضمان الخلة والخصاصة. فإن ساعد أحدَهم البخت، وفي الندرة يساعد، كان ما يصل إليه نائبًا عنه لعدم الاستحقاق، مستعدًا للزوال والفراق."
,
"To demonstrate the truth of the above, one might recall the personifications given by the Ancients to luck, the epitome of idleness, and to Mercury, the giver of skills.","وقد يدلك على ذلك تصوير الأوائل لصورة البخت صاحب البطالات، ولصورة عطار واهب الصناعات."
luck is represented as a blind woman sitting on a globe and holding the rudder of a ship. ,فإنهم صوروا البخت بصورة امرأة عمياء جالسة على كرة آخذة بيدها سكان سفينة. 
"Mercury, on the other hand, is represented as a handsome youth with an open face and keen eyesight, sitting on a cube. The image of a woman was chosen to represent luck as an indication of foolishness, and lack of wisdom and direction.",وصوروا عطارد بصورة شاب حسن طلق الوجه حاد النظر جالسٍ على قاعدة مربعة. فضربوا المرأة مثلًا لما عليه البخت من الخَرَق وعدم الحكمة والتدبير
,
"Blindness was specified because it involves confused and haphazard action, while the globe signifies a rapid decline and lack of steadfastness.","وضربوا العمى مثلًا لما هو عليه من إختلال الفعل وبُعده عن النظام، والكرة مثلًا لسرعة الزوال وقلة الثبات"
"Holding the rudder of a ship is an indication that believers in luck tend to follow their own whims, thus exposing themselves to danger, for a ship steered by a blind person is liable to sink and lose all passengers when faced with the slightest mishap.","وإمساك سكان السفينة مثلًا لإشراف أصحاب البخت على الأهواء واستهدافهم للأخطار، إذا كانت السفينة التي يدبرها أعمى يغرقها أدنى سبب، ويهلك ركابها أيسر عارض. "
,
"Let us suppose that such a ship does escape danger which is rare we would still be left with the dismal image of the blind woman, the unsteady movements of the ship.","ثم إن فرضنا أن هذه السفينة قد سلمت، وفي الندرة تسلم، فليست تخلو من سماجة منظر تلك المرأة العمياء، ومن اضطراب الحركات"
"the hourly change in the mood of its passengers, veering between wariness and outright fear, while at the same time their morale plummets, their hopes diminish and all expectations of reaching safety are lost.","وتردد ركابها كل ساعة بين الحذر والإشفاق، مع انخزال من نفوسهم وضعف من آمالهم وانقطاع من أسباب الرجاء بهم."
,
"The youthfulness, beauty and pleasant features of Mercury stand for the high hopes of skilled workers, the excellent quality of their labours, and the pleasure they gain from their achievement.","وأما شباب عطارد وحسن منظره وطلاقة وجهه، فمثال لما عليه الصنَّاع من قوة آمالهم وحسن أفعالهم وسرورهم بأحوالهم."
,
"The keen eyesight of Mercury is meant to show that, with skilled workers, work is performed with insight and direction, and with method and order. As for the cubic base, this represents steadfastness and permanence, and shows endurance and continuity.","وأما حدة نظره، فمثالٌ لأن أمورهم تجري على بصيرةٍ وتدبيرٍ وعلى نظم وترتيب. وأما تربيع القاعدة، فمثالٌ للثبات والدوام، ودلالة على الاستمرار والإتصال."
"People with professional skills continue to enjoy a good life and a sufficient income, their capital being such that, if disaster struck, it would carry them along and, even if they were to fall asleep, thieves would not steal it from them.","وذلك أن أصحاب الصناعات يثبتون على حال واحدة في حسن العيش وإصابة الكفاية، ورأس مالهم شيء إذا كُسر بهم، يسبح معهم، وإذا ناموا لم يسرقه اللصوص منهم."
,
"This example - God permitting - is sufficient encouragement for appreciating the value of professions and their benefits, and of the effort needed to learn them. ",فهذا - إن شاء الله - كافٍ في الحث على تعظيم قدر الصناعات واستفادتها والاجتهاد في تعلمها
"However, although all professions bring benefits and are worthy of praise, they are not alike in prestige and status.","غير أنها عائدة بالنفع مستحقة للمدح، ففيها تفاضل في الرتبة وتفاوت في المزية."
A person who is satisfied with a lower profession when capable of a better one proves that he is content to do menial tasks - like a woman who is capable of being a lady but acts like a housemaid!.,"ومتى قنع الإنسان بصغارها وفيه قوة على اقتناء كبارها فقد قنع بالدناءة، وكان كالمرأة التي أمكنها أن تصير سيدةً، فقامت مقام الأمة."
,
"Medicine is one of the lofty undertakings and professions, as will be shown in the relevant chapter. A person would do well to study it and to take pleasure in mastering it - with God’s help.","والطب من جلائل الأمور والصناعات كما ستراه مشروحًا في بابه. فأخلق بالإنسان أن يرغب فيه، ويهشّ لاقتنائه، والله تعالى هو المعين. "
,
Chapter Two: On the importance of the profession of medicine.,الباب الثاني: في إثبات صناعة الطب.
,
"Specialists in the rational sciences do not disagree over the importance of medicine, nor do they refrain from giving it preference and from recognising its prestige.","إن الناظرين في العلوم العقلية لم يختلفوا في إثبات صناعة الطب، ولم يذهبوا عن تفضيلها والاعتراف بشرفها."
"Similar views are held by ordinary people who possess sound minds and keen insight. As for those who only claim to have knowledge of the sciences, and the common people stamped with the qualities of ignorance.","وكذلك أكثر العوام الذين سَلِمت عقولهم وتحركت قوة البصيرة فيهم، فأما الأدعياء في العلوم والعوام المطبوعون بطبائع الجهل"
"they will sometimes deny the value of medicine and tend to ignore it and to persuade others to disclaim it. Some of those who deny the existence of medicine do so to bolster up their tendency for idleness, being envious of anyone with a profession.","فربما أبطلوا الطب، وجنحوا إلى نفيه، وحملوا غيرهم إلى رفضه. وبعض هؤلاء يفعل ذلك إثباتًا للبطالة وحسدًا لكل ذي صناعة."
,
"Others do so in the false belief that the ability of man to cure diseases and to allay suffering is an infringement of the will of God, the Exalted, and a contradiction of His wishes with regard to mankind.","وبعضهم يفعله توهمًا أن قدرة الإنسان على شفاء الأمراض وإزالة الأوصاب مزاحمة لله تعالى في قضائه وقدره، والتماس بخلاف ما أراده بعبده."
,
"Still others deny the existence of medicine in the belief that it is impossible for man to master it, due to its difficulty and obscure secrets.",وبعضهم يبطل الطب استبعادًا أن يستنبطه الإنسان مع صعوبة مرامه وإخفاء سره. 
"There are also those who say: if medicine exists, physicians should be able to cure all patients and no one under their treatment should perish.","وبعضهم يقولون: لو كان الطب موجودًا لكان الأطباء يشفون المرضى كلهم، ولا يتلف من عالجوه منهم."
We shall now discuss this fully and sufficiently - God willing - in words that openly speak the truth.,ونحن نتكلم في ذلك كلامًا كافيًا يصدع - إن شاء الله - بالحق ويفصح عن الواجب
"We say: In the material world under the sphere of the Moon, we have observed the four elements, which comprise fire, air, water and earth. We have also observed composite structures which include animals, plants, and so forth.","فنقول: إنا نظرنا في الأجسام التي تحت فلك القمر من العناصر الأربعة التي هي النار والهواء والماء والأرض، ومن المركبات منها، التي هي الحيوان والنبات وغيرهما"
"We have seen them act and be acted upon, one with another. In other words, an element can affect another element or a composite structure, and a composite structure can affect another composite structure or an element.","رأيناها يفعل بعضها في بعض وينفعل بعضها عن بعض، حتى إن العنصر يفعل في العنصر وفي المركب، والمركب يفعل في المركب وفي العنصر."
,
"Examples of elements affecting elements are the following: the way fire heats air, water and earth, and the way wintry air cools the surface of the earth and freezes water.","أما العنصر في العنصر، فكما تحمي النار الهواءَ والماءَ والأرض، وكما يبرد الشتاء صفحة الأرض ويجمد الماء."
,
"Examples of the action of elements on composite structures: the way animals and plants become warm when near fire and are burned when fire touches them, and the way they turn cold near ice and become numb when they touch it.","وأما العنصر في المركب، فكما يحمى جسم الحيوان والنبات بقرب النار، ويحترق من مباشرتها، ويبرد من قرب الثلج ويخدر من مخالطته."
,
"Examples of composite forms having an impact on elements: the way the air surrounding our bodies becomes warm from [the heat of] our bodies, and the way water becomes warm when it enters our insides.","وأما المركب في العنصر، فكما يحمى الهواء المحيط بالبخارات التي تتخلل من أبداننا، وكما يسخن الماء إذا خاض إلى أجوافنا."
,
"Examples of the effect of composite structures on other composite things: the way scammony [causes diarrhoea], camphor cools the human body, and [musk] brings it warmth.","وأما المركب في المركب، فمثل أن السّقمونيا يسهل الإنسان، والكافور يبرده، والمسك يسخنه."
,
"Indeed, if we were to go beyond elements and composite structures, we find that the Sun, the Moon and all other planets affect these elements, as well as the composite structures made from these elements.","ثم إذا تجاوزنا هذه العناصر والمركبات منها، وجدنا الشمس والقمر وسائر الكواكب تؤثر في هذه العناصر والمركبات منها."
"The Sun and the Moon have the most evident and the strongest effect; the Sun heats up whatever its rays fall upon, whether it is land, water, air, animal, plant, or other matter in the world of creation and decay.",والشمس والقمر من أظهرها فعلًا وأبينها أثرًا. فإن الشمس تحمي ما وقع شعاعها من أرضٍ وماء وهواء وحيوان ونبات وغير ذلك مما في عالم الكون والفساد.
,
"The Moon also has the same role but on a lesser scale than the Sun. Our observation of these matters has shown us that there is something that causes action and reaction, and a power which brings about an effect and the acceptance of that effect.","وكذلك القمر يفعل هذا الفعل، إلا أنه دون فعل الشمس. فبان لنا بهذا النظر أن في هذه الأشياء أمرًا من الأمور به يكون الفعل والانفعال، وقوة بها يكون التأثير وقبول التأثير."
"This power is known as nature and constitution. It is the power with which God, the Exalted, has endowed these bodies, in order to bring about the impossible and make the universe complete.","وتلك القوة هي التي تسمى طبعًا وطبيعة. وهي قوة بها ركزها الله تعالى في هذه الأجسام، ليقع بها هذه الاستحالات، وتتم هذه الأكوان"
"bringing forth life, death, health and illness, so that God’s will and order should prevail.","وتكون لها الحياة والموت والصحة والسقم، فيستتب التدبير الذي أراده، ويلتئم النظام الذي اعتمده."
"If we were to observe more closely, we would find that a person’s body remains healthy and sound as long as there is equilibrium in the things we have described as capable of affecting others and as long as there is moderation in his actions and movements.","ثم إذا كررنا النظر، رأينا بدن الإنسان يكون على حال صحةٍ وسلامة ما اعتدلت فيه تأثيرات هذه الأشياء التي ذكرنا أنها تؤثر في غيرها، وما اعتدلت أفعاله وحركاته"
"As soon as there is a deviation from the balanced state, a person tends to become ill in proportion to the deviation and moves away from well-being by the same proportion. Examples: If a person sits in the Sun, he would feel the heat gradually.","ومتى زالت عن الاعتدال فيه مال إلى المرض بحسب زوالها، وانتقل عن الصحة بقدر انتقالها. مثال ذلك أن الإنسان إذا جلس في الشمس أحمته أولًا فأولًا."
"the longer he remains exposed the hotter he would become. If he continued to sit in the Sun, he would suffer from the fever known as “diurnal fever”.","فإذا طال جلوسه فيها، أفرط عليه تأثيرها. فإذا زاد ذلك، نالته الحمَّى التي يُقال لها: حمَّى يوم."
"Also, if a person were to drink some wine, his natural body warmth would get stronger and his digestion would improve. Should he, however, exceed the norm in drinking, he would suffer from acute ailments.",وإذا أصاب من الخمر بقدرٍ قويت حرارته الغريزية وجاد هضمه. فإذا جاوز الاعتدال في شربها أورثته العلل الحادة.
,
"If a person were to take a certain quantity of scammony, this would loosen his bowels in a healthy way, but should he exceed that quantity, he would suffer from diarrhoea which might lead to death.","وإذا تناول من السقمونيا مقدارًا ما، أسهلته إسهالا ينتفع به. فإذا استكثر منها، ضعَّفته بالإسهال وربما أدته إلى الهلاك."
,
"In the same way, if he were to go for a leisurely stroll on an empty stomach, this would give his body good exercise and warmth. If he were to go on an arduous walk, he would get too hot, would beg for a cold drink, and might need to take a palliative.","وكذلك إذا مشى مشيًا رقيقًا وهو خاوٍ، كان رياضة لجسمه وإثارةً لحرارته، فإذا عنف في المشي، سخن بدنه بحيث يستغيث إلى المبردات، ويحتاج إلى الملطفات."
,
"Similarly with all things that can be taken to excess: if a man were to take a normal portion, he would benefit and remain healthy.","وكذلك حاله مع سائر الأشياء التي لها كيفية مفرطة، فإنه متى نال باعتدال انتفع بها، وبقيت صحته بحالها"
"but if he should exceed the limit, this would cause his body harm in the same proportion of the excess, and his health would suffer accordingly. If we look even further, we will find that when a person treats a threatening condition with its opposite.","فإن أسرف غلب على بدنه مثل تلك الكيفية، وخرج بقدر مبلغها عن حال الصحة. فإذا نظرنا بعد ذلك، صادفنا الإنسان متى قابل الكيفيات الغالبة على بدنه بأضدادها"
,
"he will succeed in curing his illness completely or, at least, manage to break its onslaught and lessen its intensity so that his health would then revert to its normal or quasi-normal condition, and the illness would recede or disappear.","دفع غائلتها بالكلية أو كسر منها الغلبةَ والسورة، حتى تعاود الصحة أو تقاربها، ويزعج العلة أو يأمنها."
,
"To illustrate: when a person suffers from fever caused by the heat of the Sun, he rushes to have an iced drink or barley water, or he pours over the top of his head chilled rosewater and rose oil mixed with wine vinegar.",مثل أن يفزع المحموم من حر الشمس إلى شرب ماء الثلج وتحسي ماء الشعير وصب ماء الورد ودهنه وخل الخمر مضروبة معا مبرَّدة على اليافوخ.
,
Another example: A person whose extremities are numb and who has difficulty breathing (khunaq)' as a result of taking hemlock should take a potion of pure strong wine mixed with a lot of pepper.,"ومثل أن يتداوى مَن خدرت أطرافه وأصابه الخناق من سقي الشوكران، بتناول الشراب القوي الصرف قد ألقى فيه الكثير من الفلفل"
"or should take an antidote between a berry and a walnut in size made of castoreum, asafoetida, pepper and juniper.",أو بتناول قدر النبقة إلى الجوزة من الترياق المعمول بالجندبيدستر والحلتيت والفلفل والأبهل.
,
"All this confirms the following conclusion. When man observed the impact whether beneficial, harmful, or resulting in a total cure of such matters on his body and the bodies of others.","فتحقق من هذا كله أن الإنسان متى رصد تأثيرات هذه الأشياء في بدنه، وأبدان من سواه من نفعها لها وإسقامها إياها ونفيها للأمراض التي فيها"
"then compared such observations to his own experiences and derived through reasoning similar or comparable conclusions; and then others followed and acquired his knowledge, interpreted it and enlarged upon it.","ثم قاس على ما ثبت من ذلك في نفسه، واستخراج النظائر والمشاكلات بفكره، ثم تلاه من الناس من يتلقَّن علمَه ويضيف إليه ويزيد فيه"
"using observation and comparison as he had done when all this happened, the medical profession came into being and was firmly established among those concerned and interested in the subject.","بأن يرصد مثل ما يرصد ويقيس مثل ما قاس، أفضى الأمر إلى حصول صناعة الطب وتقوّمها في نفوس المتعاطين لها، والمهتمين بها"
"Their efforts continued until they could understand each illness in terms of its symptoms and indications, and knew its required treatment through their knowledge of its causes.","حتى يقفوا على كل وصبٍ من علاماته ودلائله، ويقفوا على واجب علاجه من معرفتهم لأسبابه"
"and by being convinced that one can counteract something by its opposite. According to Aristotle, this is what happens in every profession.","ويقينهم أن الشيء يقاوم بضدِّه. فإن كل صناعة، كما قال أرسطاطاليس ، هذه حالها"
"it starts with a little knowledge, followed by a little more which one person after another discovers. When all these little bits of knowledge are collected and joined together.","فإنها تبتدئ من اليسير بعد السير يستنبطه الواحد بعد الواحد، حتى إذا تصورت نفس الإنسان ذلك اليسير مع اليسير، وجمعت بين ذلك القليل والقليل"
they endow a person with a power which is a skill. Whether he is worthy of being described as expert and proficient would depend on the way he uses such power. Such is the process by which wise men formulated the medical profession.,"كانت تلك القوة الحاصلة في نفسه صناعةً، وكان بحسب تصرفه في أفعال تلك القوة مستحقًا لاسم الحذق والمهارة."
,وهذا فعل الحكماء الذين استنبطوا صناعة الطب.
,
"No one is devoid of some medical knowledge, however trivial, for such knowledge is almost instinctive: a person who feels hot after an arduous run would go and drink cold water.","فإن أحدًا لا يخلو من أن يعرف، ولو الجزء الذي في غاية النزارة من الطب، كأنه شيءٌ مركوزٌ في الطبع. فإن من يلتهب بدنه من عَدْوٍ عنيف يشرب الماء البارد"
"a person who suffers from constipation would take a laxative; and a person who is exhausted from staying up late at night, or from hard work, would take a bath and anoint himself with oils. Scholars proceeded to observe coincidences.","ومن تنعصم طبيعته يتناول الملينات، ومن يتقشف بدنه من سهرٍ أو تعبٍ، يستعمل الحمام، ويتمرخ بالأدهان. فعمد الحكماء إلى ترصّد الاتفاقات"
,
"and to deduce distinctive characteristics on the basis of their experience. They compared their findings with basics already established through observation and by seeing with the naked eye. It is through this process that the medical profession developed in India, Persia and Byzantium.","وإلى استخراج الخاصيَّات بالتجربة، وإلى القياس على الأصول الحاصلة بالرصد والمشاهدة. فقامت الصناعة الطبية بهذا التدبير في الهند والفرس والروم،"
"people there made use of their knowledge and advanced well beyond ignorant nations that depended on nature to cure their bodies, such as the [Bedouin] Arabs, the Turks, the Slavs and the Zanj.","فاستنفعوا بها، وتميزوا عن الأمم الجاهلية التي معولها في تدبير أبدانها على فعل الطبيعة، كالعرب والترك والصقالبة والزنج."
,
"It is for this reason that Hippocrates wrote in the opening to his book entitled The Aphorisms: “Life is short, the art is long, and time is fleeting.”","ولهذا قال بقراط في صدر كتابه الموسوم بالفصول: ""العمر قصير، والصناعة طويلة، والزمان جديد""."
,
"In explanation of this, it is said that Hippocrates encouraged writing books on medicine, and drew attention to those who did so.","قيل في تفسير ذلك إنه يحث على تصنيف الكتب في الطب، وينبئ عن الداعي له إلى التصنيف."
"If the life of one person is too short to master the profession of medicine, then it is essential to record what each man has discovered.","لأنه إذا كانت الصناعة الطبيعة لا يفي باستخراجها عمر الشخص الواحد لقصره، وجب أن تُصنف الكتب فيها، فيودع ما يستنبطه الواحد"
"so that the profession will be complete through the efforts of many. Here, we must speak about those who deny the existence of the medical profession.",حتى تتكامل الصناعة بأعمار كثيرة. ومن ها هنا ينبغي أن نتكلم على من أبطل وجود الطب.
"With regard to idlers, it is no more our task than that of other professions to argue with them, for they are happy with their laziness and tend to deny all crafts.","وأما البطالون، فلسنا بمناظرتهم أولى من أهل الصناعات الأخر، فإنهم إلى الكسل يستريحون، وإلى إبطال جميعها يجنحون."
,
"I believe these belong to the people that Aristotle forbade arguing with and, instead, instructed that prayers should be said for their salvation, or that they should be educated and properly trained.","وأظن هؤلاء من الذين يمنع أرسطوطاليس مجادلتهم، ويأمر بالدعاء لهم أو بتأديبهم، وإقامة السياسة عليهم."
,
In The Book of Dialectics [Aristotle] says that there should be no debate on certain matters I because of their obscurity and subtleness.,"فإنه يذكر في كتاب الجدل أن من المسائل ما لا يجوز الجدال فيه، لغموضته ودقته"
and because such matters require deep thought and deliberation; they do not get resolved by hurried thought or borrowed statements. Examples are the question of “the part” [particle]’ and the issue of whether [the world] is eternal or created.,لأن ما هذه سبيله من المسائل يحتاج إلى غوص الفكر وإلى تدقيق النظر ولا ينقاد بعجالة الخاطر واختلاس القول مثل مسألة الجزء ومسألة القدم والحدوث.
,
"Other matters are not suitable for argument because they are obvious and need no clarification. Indeed, prayers should be said so that sound feeling is granted to the person who questions, for example, whether fire can bum or ice can chill.","ومنها ما لا يسوغ الجدال فيه لبيانه ووضوحه، وإنما يدعى لمسائله بأن يهب الله له حاسةً سليمةً، مثل أن يسأل السائل: (هل تحرق النار؟) و(هل يبرّد الثلج؟)"
,
There are matters where argument is undesirable owing to the enforcement of strict laws and to the infringement of such argument on religious conventions. A person who questions such matters should be reprimanded and prevented from uttering them.,ومنها ما لا يسوغ الجدال فيه لحزم السياسة وقدحه في أوضاع الشريعة. بل يجب أن يؤدب السائل عنه ويمنع من التفوه به
"The questioner should be asked in return, “Why should one be good to one’s parents?” and “Why should one abstain from killing an innocent person?”. ",مثل أن يسأل السائل: (لم يجب بر الوالدين؟) و(لم لا يجوز قتل النفس الزكية؟)
,
