IBN KHALLIKAN’S BIOGRAPHICAL DICTIONARY.,وفيات الأعيان لابن خلِّكان
"I put this work in order in the year 654 (A. D. 1256), at Cairo, though taken up by other avocations, and living under circumstances unfavourable to such a task. The reader ought therefore to excuse me, and consider that it was the motive I stated which induced me to undertake it, and that no vain fancy could ever have inspired my mind with the absurd idea of ranking among authors:","وكان ترتيبي له في شهور سنة أربع وخمسين وستمائة بالقاهرة المحروسة مع شواغل عائقة، وأحوال عن مثل هذا متضايقة، فليعذر الواقف عليه، وليعلم أن الحاجة المذكورة ألجأت إليه، لا أن النفس تحدثها الأماني من الانتظام في سلك المؤلفين بالمحال،"
"a current proverb says, There are men for each business; and how could such an honour happen to me, who have but a limited share of information in this science? Besides, he who boasts of a talent with which he is not gifted, is like one who arrays himself in the garb of falsehood.","ففي أمثالهم السائرة "" لكل عمل رجال "" ومن أين لي ذلك والبضاعة من هذا العلم قدر منزور، والمتشبع بما لم يعط كلابس ثوبي زور،"
"God preserve us from falling into the gulfs of error, and grant us, through his grace and bounty, that surest safeguard, the knowledge of our real abilities. Amen.","حرسنا الله تعالى من التردي في مهاوي الغواية، وجعل لنا من العرفان بأقدارنا أمنع وقاية، بمنه وكرمه، آمين."
IBRAHIM AL-NAKHAI.,إبراهيم النخعي
"Abu Imran, surnamed also Abu Ammar, Ibrahim Ibn Yazid Ibn al-Aswad Ibn Amr Ibn Rabia Ibn Haritha Ibn Saad Ibn Malik Ibn al-Nakha al-Nakhai, native of Kufa, and a celebrated imam and doctor, was one of the Tabis. Though he had seen and visited Aisha (widow of Muhammad), there exist no authentic traditions received by him from her.","أبو عمران، وأبو عمار، إبراهيم بن يزيد بن الأسود بن عمرو بن ربيعة بن حارثة بن سعد بن مالك بن النخع، الفقيه، الكوفي، النخعي؛ أحد الأئمة المشاهير، تابعي رأي عائشة رضي الله عنها ودخل عليها، ولم يثبت له منها سماع"
"he died A. H. ninety five or ninety six, (A. D. seven hundred and thirteen or seven hundred and fourteen), aged forty nine, some say fifty eight, but the first number is correct.","توفي سنة ست وقيل خمس وتسعين للهجرة، وله تسع وأربعون سنة، وقيل: ثمان وخمسون سنة، والأول أصح."
"When the death of al-Nakhai drew near, he was sorely troubled in spirit, and being spoken to about it, said: “What peril can be greater than mine? I must expect a messenger from my Lord, sent to announce to me either paradise or hell! I declare solemnly I would rather remain as I am now, with (my soul ) struggling in my throat, till the day of resurrection (than undergo such a hazard,)"".","ولما حضرته الوفاة جزع جزعاً شديداً، فقيل له في ذلك، فقال: وأي خطر أعظم مما أنا فيه إنما أتوقع رسولاً يأتي علي من ربي إما بالجنة، وإما بالنار، والله لوددت أنها تلجلج في حلقي إلى يوم القيامة."
"His mother, Mulaika, daughter of Yazid Ibn Kais, was sister to al-Aswad Ibn Yazid al-Nakhai, who was therefore maternal uncle to Ibrahim.","وأمه مليكة بنت يزيد بن قيس النخعية، أخت الأسود بن يزيد النخعي، فهو خاله رضي الله عنه."
"Nakhai means belonging to al-Nakha, which is a great branch of the tribe of Madhij, in Yamen; al-Nakha’s name was Jasr Ibn Amr Ibn Olla Ibn Khalid Ibn Malik Ibn Odad; he was surnamed al-Nakha, because he had removed far away, intakhaa, from his people: this tribe has produced a great number of remarkable men. Others have given a different genealogy of al-Nakha, but the one here given is correct; it is taken from Ibn al-Kalbi’s Jamharat al-Nisab (Universal Genealogist).","ونسبته إلى النخع - بفتح النون والخاء المعجمة وبعدها عين مهملة - وهي قبيلة كبيرة من مذحج باليمن. واسم النخع جسر بن عمرو بن علة بن خالد ابن مالك بن أدد، وإنما قيل له النخع لأنه انتخع من قومه: أي بعد عنهم، وخرج منهم خلق كثير، وقيل في نسبه غير هذا، هذا هو الصحيح، نقلته من جمهرة النسب لابن الكلبي."
"ABU THAUR IBRAHIM AL - KALBI . The doctor Abû Thaur Ibrahim Ibn Khalid Ibn Abi ' l - Yaman al - Kalbi was a disciple of the imam as - Shâfi , who taught him those ancient sayings which he has transmitted to posterity.",أبو ثور صاحب الشافعي\r\nأبو ثور إبراهيم بن خالد بن أبي اليمان الكلبي الفقيه البغدادي صاحب الإمام الشافعي رضي الله عنه وناقل الأقوال القديمة عنه؛ 
"This eminent doctor and trust - worthy traditionist on religious affairs wrote some works on the Ahkám, and he evinced in these treatises an equal knowledge of the traditions and jurisprudence.","وكان أحد الفقهاء الأعلام والثقات المأمونين في الدين، له الكتب المصنفة في الأحكام جمع فيها بين الحديث والفقه،"
"His first studies were taken up with the doctrines of the Rationalists, but as - Shâfi having come to Irak , he went often to see him , became his follower , and renounced the opinions of his former sect .","وكان أول اشتغاله بمذهب أهل الرأي، حتى قدم الشافعي العراق فاختلف إليه واتبعه ورفض مذهبه الأول،"
"He persevered in his adhesion to as - Shafi's principles , and died the 26th Safar , A. H. 246 ( A. D. 860 ) , at Baghdad , where he was buried in the cemetery by the gate of Kenâs . Ahmad Ibn Hanbal said of him : "" I look on him as a second Sofyian at - Thauri ( 4 ) ; I have known him as a zealous Sonnite for the last fifty years.","ولم يزل على ذلك إلى أن توفي لثلاث بقين من صفر سنة ست وأربعين ومائتين ببغداد، ودفن بمقبرة باب الكناس، رحمه الله تعالى. وقال أحمد بن حنبل: هو عندي في مسلاخ سفيان الثوري، أعرفه بالسنة منذ خمسين سنة."
"ABU ISHAK AL - MARWAZI . Abu Ishak Ibrahim Ibn Ahmad Ibn Ishak al - Marwazi , doctor of the sect of 4 as - Shâfi , was the greatest mufti and professor of his time . He learned the prin ciples of jurisprudence from Abû ' l - Abbas Ibn Soraij ; and having attained great excellence in this science , he succeeded Ibn Soraij as chief of the Shafites in Irak . He composed many works , and commented the Mokhtasar, or Abridgment of the Doctrine of as-Shâfi , by al-Muzani .","أبو إسحاق المروزي\r\nأبو إسحاق إبراهيم بن أحمد بن إسحاق المروزي الفقيه الشافعي؛ إمام عصره في الفتوى والتدريس، أخذ الفقه عن أبي العباس بن سريج وبرع فيه، وانتهت إليه الرياسة بالعراق بعد ابن سريج، وصنف كتباً كثيرة، وشرح مختصر المزني،"
"He was for a long time professor and mufti at Baghdad, and a great number of his pupils attained eminence. It was after him that the street of Marwazi , in that quarter of Baghdad called the Grant of ar - Rabi, received its name.","وأقام ببغداد دهراً طويلاً يدرس ويفتي، وأنجب من أصحابه خلق كثير، وإليه ينسب درب المروزي ببغداد الذي في قطيعة الربيع."
"Towards the end ofhis life , he set out for Egypt , where he finished his days the 9th Radjab , A. H. 340 (A. D. 951) , and was interred near the tomb of the imam as - Shâfi ; some say he died a little before mid night , on Sunday , 11th Rajab of the same year.","ثم ارتحل إلى مصر في أواخر عمره فأدركه أجله بها فتوفي لتسع خلون من رجب سنة أربعين وثلثمائة، ودفن بالقرب من تربة الإمام الشافعي، رضي الله عنه؛ وقيل: إنه توفي بعد العتمة من ليلة السبت لإحدى عشرة ليلة خلت من رجب من السنة المذكورة وذكره الخطيب في تاريخه.\r\n"
"Marwazi means belonging to Marw as - Sháhján , one of the four capitals of Khorasan , the others being Naisa pur , Herat , and Balkh . This city was so named in order to distinguish it from Mary ar - Bud : Shab - ián is a Persian word , which signifies the soul of the king , and ján soul ; the custom of the Persians being to place the consequent before the antecedent , when in the relation of annexion ( 2 ) . This city was founded by Alexander Zû ' l - Karnain ( 3 ) , and is the seat of the government of Khorasan . In forming the relative adjective from Marw , az is added , as in Razi , derived from Rai , and Istakharzi , from Istakhar ; this is one way of its formation ; but according to the opinion of those who have studied the subject , such relatives are only used when speaking of human beings ; in all other cases , the z must not be added .","والمروزي - بفتح الميم وسكون الراء وفتح الواو وبعدها زاء معجمة - نسبة إلى مرو الشاهجان، وهي إحدى كراسي خراسان أربع مدن: هذه، ونيسابور، وهراة وبلخ. إنما قيل لها مروالشاهجان لتتميز عن مرو الروذ، والشاهجان: لفظ عجمي، تفسيره روح الملك، فالشاه: الملك، والجان: الروح، وعادتهم أن يقدموا ذكر المضاف إليه على المضاف، ومرو هذه بناها الإسكندر ذو القرنين، وهي سرير الملك بخراسان، وزادوا في النسبة إليها زاء كما قالوا في النسبة إلى الري: رازي، وإلى إصطخر: إصطخرزي، على إحدى النسبتين، إلا أن هذه الزيادة تختص ببني آدم عند أكثر أهل العلم بالنسب، ماعدا ذلك لا يزاد فيه الزاء،"
"Therefore one may say of a man , he is a Marwazi ; and of a garment or other thing , it is Marwi ; some say , however , that the z may be added in all cases , and that the difference in the form of the rela tive makes no difference in its signification . The remainder of our observations concerning these two cities will be found in the Life of the kâdi Abû Hâmid Ahmad Ibn Aâmir al - Marwarrudi .","فيقال: فلان المروزي والثوب وغيره من المتاع مروي - بسكون الراء - وقيل: إنه يقال في الجميع بزيادة الزاء، ولا فرق بينهما، وهو من باب تغيير النسب، وسيأتي في ترجمة القاضي أبي حامد أحمد بن عامر المروروذي الفقيه الشافعي بقية الكلام على هذين البلدين، إن شاء الله تعالى."
ABU ISHAK AL-ISFARAINI.,الأستاذ الإسفرايني
"The master Abu Ishak Ibrahim Ibn Muhammad Ibn Ibrahim Ibn Mihran al-Isfaraini, surnamed Rukn al-din (column of religion) doctor of the sect of al-Shafie, was an able divine in scholastic and dogmatic theology. The hakim Abu Abd Allah has spoken of him in these terms: The generality of the sheikhs of Naisapur took lessons from him in theology, and his learning was acknowledged by the people of Iraq and Khorasan.","أبو إسحاق إبراهيم بن محمد بن إبراهيم بن مهران الإسفرايني الملقب بركن الدين، الفقيه الشافعي المتكلم الأصولي؛ ذكره الحاكم أبو عبد الله، وقال: أخذ عن الكلام والأصول عامة شيوخ نيسابور، وأقر له بالعلم أهل العراق، وخراسان"
"he is the author of some important works; among others that great entitled: Jami' Al-Hala, a treatise on the dogmas of religion, and a refutation of the impious, which I have seen in five volumes. The kadi Abu Al-Tayeb al-Tabari, being at Isfarain, took lessons from him in the principles of jurisprudence, and it was for him that the celebrated college of Naisapur was founded.","وله التصانيف الجليلة، منها: كتابه الكبير الذي سماه جامع الحلى في أصول الدين والرد على الملحدين رأيته في خمسة مجلدات، وغير ذلك من المصنفات، وأخذ عنه القاضي أبو الطيب الطبري أصول الفقه بإسفراين وبنيت له المدرسة المشهورة بنيسابور"
"Abu al-Hasan Abd al-Ghaffir al-Farisi cites his name in his continuation of the History of Naisapur, and speaks of him thus: He was one of those learned men who attained the rank of Mujtahid by reason of his profound knowledge in the sciences, and of his possessing all the necessary qualifications for being an imam (or chief of a sect). This doctor, the ornament of the East, used to say.","وذكره أبو الحسن عبد الغافر الفارسي، في سياق تاريخ نيسابور، فقال في حقه: أحد من بلغ حد الاجتهاد من العلماء لتبحره في العلوم واستجماعه شرائط الإمامة، وكان طراز ناحية الشرق، وكان يقول"
"I wish I may die at Naisapur, so that all its inhabitants may pray over me and it was there he died, on the tenth of Muharram, A. H. four hundred and eighteen. (A. D. one thousand and twenty seven). His body was afterwards removed to Isfarain, where it was buried in the chapel which bears his name.","أشتهي أن أموت بنيسابور حتى يصلي علي جميع أهل نيسابور فتوفي بها يوم عاشوراء، سنة ثماني عشرة وأربعمائة، ثم نقلوه إلى إسفراين، ودفن في مشهده، رحمة الله تعالى."
"The shaikh Abu AL-Kasim al-Koshairi frequented his lessons, and the hafiz Abu Bakr al-Baihaki, and other writers, quote frequently in their works traditions derived from him. He had heard the lectures of Abu Bakr al-Ismaili, in Khorasan; those of Aba Muhammad Dalaj Ibn Ahmad al-Sajazi, in Iraq; and also those of their contemporaries. We shall speak of Isfarain in the article on the shaikh Abu Hamid Ahmad Ibn Muhammad al-Isfaraini.","واختلف إلى مجلسه أبو القاسم القشيري، وأكثر الحافظ أبو بكر البيهقي الرواية عنه في تصانيفه وغيره من المصنفين، رحمهم الله أجمعين، وسمع بخراسان أبا بكر الإسماعيلي، وبالعراق أبا محمد دعلج بن أحمد السجزي وأقرانهما، وسيأتي الكلام على إسفراين في ترجمة الشيخ أبي أحمد بن محمد الإسفرايني."
ABU ISHAK AL-SHIRAZI.,أبو اسحاق الشيرازي
"The shaikh Abu Ishak Ibrahim Ibn Ali Ibn Yusuf al-Shirazi al-Firouzabadi, surnamed Jamal al-din (beauty of religion), dwelt in Baghdad, and studied jurisprudence under many eminent men.","الشيخ أبو إسحاق إبراهيم بن علي بن يوسف، الشيرازي، الفيروزأبادي الملقب جمال الدين؛ سكن بغداد، وتفقه على جماعة من الأعيان منهم أبو أحمد عبد الوهاب بن محمد بن أمين وأبو عبد الله محمد بن عبد الله البيضاوي وأبو القاسم منصور بن عمر الكرخي وغيرهم"
"he was an assiduous pupil of Abu Al-Tayeb al-Tabari, and profited by his lessons, he then acted as his substitute, and was appointed by him director of repetitions (or under-tutor) of the class; after which he became the first imam of his time in Baghdad.","وصحب القاضي أبا الطيب الطبري كثيراً، وانتفع به، وناب عنه في مجلسه، ورتبه معيداً في حلقته، وصار إمام وقته ببغداد"
"Nizam al-Mulk, having founded the college (called Nizamiyah) in that city, offered its direction to Abu Ishak; and, on his refusal, appointed to that place Abu Nasr Ibn al-Sabbagh, author of the Shamil; this doctor filled the situation for a short period; then Abu Ishak consented to accept it, and held it till his death.","ولما بنى نظام الملك مدرسته ببغداد، ساله أن يتولاها، فلم يفعل، فولاها لأبي نصر ابن الصباغ صاحب الشامل مدة يسيرة، ثم أجاب إلى ذلك فتولاها، ولم يزل بها إلى أن مات،"
"I have given the details relating to this in the life of Ibn al-Sabbagh, to which I therefore refer the reader.","وقد بسطت القول في ذلك في ترجمة الشيخ أبي نصر عبد السيد بن الصباغ، صاحب الشامل، فليطلب منه."
سقطمنالنسخة,وسمع الحديث من أبي بكر أحمد بن محمد بن أحمد بن غالب الخوارزمي البرقاني الحافظ وأبي علي الحسن بن أحمد بن إبراهيم بن شاذان البزار وأبي الفرج محمد بن عبد الله الخرجوشي الشيرازى وغيرهم.
"Abu Ishak wrote a number of instructive and useful books, such as the Muhaddab, a treatise on the doctrines of his sect; the Tanbih, or Call, a work on jurisprudence, the Loma, or Glimpses, with a commentary, wherein the dogmas of religion are treated of; the Nokat, or shrewd Devices on controversial subjects; the Tabsirah, or Monitor; the Maunah, or Succor; the Talkhis, or Summary, a Treatise on Dialectics, etc. The number of those who profited by his instruction was very great.","وصنف التصانيف المباركة المفيدة، منها: المهذب في المذهب، والتنبيه في الفقه، واللمع وشرحها في أصول الفقه، والنكت في الخلاف، والتبصرة، والمعونة، والتلخيص، في الجدل، وغير ذلك، وانتفع به خلق كثير."
"He composed some good poetry, of which I shall give the following verses: I asked of men: Where is a true friend to be found? Their answer was: To such there is no way; cling, if thou canst, to the robe of the noble-minded; for the man of noble mind is seldom met with in the world.","وله الشعر الحسن، فمنه: \r\nسألت الناس عن خلٍ وفيٍ... فقالوا ما إلى هذا سبيل\r\nتمسك إن ظفرت بذيل حر... فإن الحر في الدنيا قليل"
"It is related by the shaikh Abu Bakr Muhammad al-Tortushi (whose life shall be given later), that a clever poet of Baghdad, called Asim, made the following pretty verses in praise of Abu Ishak (to whom God be merciful).","وقال الشيخ أبو بكر محمد بن الوليد الطرطوشي الآتي ذكره إن شاء الله تعالى: كان ببغداد شاعراً مفلق، يقال له عاصم، فقال يمدح الشيخ أبا إسحاق قدس الله سره:"
"Thou sees his body worn away by his active mind; it bears the marks of that ardor which fires his soul; when the human mind is great with lofty thoughts, a body lean and worn is no disgrace.",تراه من الذكاء نحيف جسمٍ... عليه من توقده دليل\r\nإذا كان الفتى ضخم المعالي... فليس يضره الجسم النحيل
"Abu Ishak was a man of the utmost devotion, and rigidly attentive to his religious duties: his merits were countless.","وكان في غاية من الورع والتشدد في الدين، ومحاسنه أكثر من أن تحصر."
"He was born at Firozabad, A. H. three hundred and ninety three, (A. D. one thousand and three) and died in Baghdad on the eve of Sunday, the twenty-first of the second of Jumada (according to al-Samaani in his Zail, but others say the first Jumada), A. H. four hundred and seventy six, (A. D. one thousand and eighty three) and was buried the next morning in the cemetery at the gate of Abrez.","ولد في سنة ثلاث وتسعين وثلثمائة بفيروزاباذ، وتوفي ليلة الأحد، الحادي والعشرين من جمادى الآخرة، قاله السمعاني في الذيل، وقيل: في جمادى الأولى، قاله السمعاني أيضا، سنة ست وسبعين وأربعمائة، ببغداد، ودفن من الغد بباب أبرز، رحمة الله."
"The following elegy was made on his death by Ibn Nakiyaa, whose life will be found among those of the Abd Allah.","ورثاه أبو القاسم ابن ناقياء، واسمه عبد الله، وسيأتي ذكره إن شاء الله تعالى، بقوله"
"A fatal event hath struck our eyes with consternation and hath caused our tears to flow mingled with blood I What hath happened to fortune? She cannot collect her strength, since the loss of her favored son, Abu Ishak. Say: He is dead but his memory hath not died; it will live and endure while Time doth run his course.",أجرى المدامع بالدم المهراق... خطب أقام قيامة الآماق\r\nما لليالي لا تؤلف شملها... بعد ابن بجدتها أبي إسحاق\r\nإن قيل مات فلم يمت من ذكره... حي على مر الليالي باقي
"Muhibb al-din Ibn al-Najjar mentions Abu Ishak in his History of Baghdad, and speaks of him in these terms: He was the imam of the sect of al-Shafie, and one of those men of merit whose reputation spread abroad; in learning and self-denial he excelled every person of his time; and most of the learned in the great cities were his pupils.","وذكره محب الدين النجار في تاريخ بغداد، فقال في حقه: إمام أصحاب الشافعي، ومن انتشر فضله في البلاد، وفاق أهل زمانه بالعلم والزهد، وأكثر علماء الأمصار من تلامذته."
"Born and bred at the town of Firozabad, in the province of Faris, he went to Shiraz, where he studied under Abu Abd Allah al-Baidawi and Ibn Ramin; from thence he proceeded to Basrah, where he had al-Jawzi for master; in the month of Shawwal, A.H. four hundred and fifteen, he entered Baghdad to study under Abu Al-Tayeb al-Tabari. He was born A. H. three hundred and ninety three.","ولد بفير وزاباذ، بلدة بفارس، ونشأ بها، ودخل شيراز، وقرأ بها الفقه على أبي عبد الله البيضاوي، وعلى أبي أحمد عبد الوهاب بن رامين، ثم دخل البصرة وقرأ على الجوزي، ودخل بغداد في شوال سنة خمس عشرة وأربعمائة وقرأ على أبي الطيب الطبري، ومولده في سنة ثلاث وتسعين وثلثمائة."
"I asked him, ”said Abu Abd Allah al-Humaidi, “the date of his birth, and he mentioned to me some circumstances which point out the year three hundred and ninety six, (A. D. one thousand and six), as he said that he set out to travel in search of learning in the year four hundred and ten, and went to Shiraz: others however place his birth in three hundred and ninety five, but God knows it best.","وقال أبو عبد الله الحميدي: سألته عن مولده، فذكر دلائل دلت على سنة ست وتسعين، قال: ورحلت في طلب العلم إلى شيراز، في سنة عشر وأربعمائة، وقيل: إن مولده في سنة خمس وتسعين، والله أعلم."
"On his death, his pupils sat in solemn mourning in the Nizamiyah college, and after that ceremony, Moayed al-Mulk, son of Nizam al-Mulk, appointed Abu Saad al-Mutawalli to the vacant place, but when Nizam al-Mulk heard of it, he wrote to disapprove of that nomination, adding that the college should be shut up during a year, on account of Abu Ishak’s death; he then blamed the person who had undertaken to fill his place, and ordered the sheikh Ibn al-Sabbagh to profess in his stead.","وجلس أصحابه للعزاء بالمدرسة النظامية، ولما انقضى العزاء رتب مؤيد الملك بن نظام الملك أبا سعد المتولي مكانه، ولما بلغ الخبر نظام الملك كتب بإنكار ذلك، وقال: كان من الواجب أن تغلق المدرسة سنة لأجله، وزرى على من تولى موضعه، وأمرأن يدرس الشيخ أبو نصر عبد السيد بن الصباغ في مكانه، رحمهم الله تعالى."
"Firozabad is a town in the province of Faris, and it is believed by some to be the same city which is called Jur so says Abu Saad al-Samaani in his work the Ansab: some persons pronounce the name of this town Firozabad.","وفير وزاباذ - بكسر الفاء وسكون الياء المثناة من تحت وضم الراء المهملة وبعد الواو الساكنة زاء مفتوحة معجمة وبعد الألف باء موحدة وبعدالألف ذال معجمه - بلدة بفارس، ويقال: هي مدينة جور، قاله الحافظ أبو سعد ابن السمعاني في كتابه الأنساب، وقال غيره: هي بفتح الفاء، والله أعلم."
