حي بن يقظان تأليف ابن طُفيل,HAYY IBN YAQZAN a Philosophical Tale of IBN TUFAYL
"وقد ثبت في علم الهيئة أن بقاع الأرض التي على خط الاستواء لا تسامت الشمس رءوس أهلها سوى مرتين في العام، عند حلولها برأس الحمل وعند حلولها برأس الميزان.","But astronomy proves that in equatorial regions the sun stands directly overhead only twice a year, when it enters the Ram at the vernal equinox and when it enters the Balances at the autumnal equinox."
"وهي في سائر العام ستة أشهر جنوبًا منهم وستة أشهر شمالًا منهم، فليس عندهم حر مفرط ولا برد مفرط، وأحوالهم بسبب ذلك متشابهة.","The rest of the year it declines six months to the north and six to the south. These regions, then, enjoy a uniform climate, neither excessively hot nor excessively cold."
"وهذا القول يحتاج إلى بيان أكثر من هذا لا يليق بما نحن بسبيله، وإنما نبهناك عليه لأنه من الأمور التي تشهد بصحة ما ذكر من تجويز تولُّد الإنسان بتلك البقعة من غير أم ولا أب.","I recognize that this statement demands a fuller explanation than I have provided, but this would not further our purpose. I bring it to your attention solely by way of corroborating the alleged possibility of a man’s being engendered in this place without father or mother,"
"فمنهم من بتَّ الحكم وجزم القضية بأن حي بن يقظان من جملة من تكوَّن في تلك البقعة من غير أم ولا أب، ومنهم من أنكر ذلك وروى من أمره خبرًا نقصُّه عليك،","since many insist with assurance and conviction that Hayy Ibn Yaqzan was one such person who came into being on that island by spontaneous generation. Others, however, deny it and relate a different version of his origin, which I shall tell you."
"فقال: إنه كان بإزاء تلك الجزيرة جزيرة عظيمة متسعة الأكناف كثيرة الفوائد عامرة بالناس، يملكها رجل منهم شديد الأَنَفة والغيرة، وكانت له أخت ذات جمال وحسن باهر، فعضلها ومنعها الأزواج؛ إذ لم يجد لها كفؤًا.","They say that opposite this island there is a large island, rich and spacious, and inhabited by people over whom one, a proud and possessive man, was king. Now this king had a sister whom he forbade to marry until he himself should find a fitting match."
وكان له قريب يسمَّى يقظان فتزوجها سرًّا على وجه جائز في مذهبهم المشهور في زمنهم.,"But she had a kinsman named Aware, and he married her secretly, but lawfully, according to their rite."
"ثم إنها حملت منه ووضعت طفلًا، فلما خافت أن يفتضح أمرها وينكشف سرها وضعته في تابوت أحكمت زمَّه بعد أن أروته من الرضاع وخرجت به في أول الليل في جملة من خدمها وثقاتها إلى ساحل البحر وقلبها يحترق صبابةً به وخوفًا عليه،","She soon conceived and bore him a son, but fearing exposure of her secret she took the infant after nursing him, put him in a tightly sealed ark; and, attended by a few trustworthy friends and servants, brought him at nightfall down to the sea, her heart aching with love and fear for her child."
"ثم إنها ودَّعته وقالت: «اللهم إنك خلقت هذا الطفل ولم يكن شيئًا مذكورًا، ورزقته في ظلمات الأحشاء وتكفَّلت به حتى تمَّ واستوى، وأنا قد سلَّمته إلى لطفك ورجوت له فضلك خوفًا من هذا الملك الغشوم الجبار العنيد، فكن له ولا تُسْلِمه يا أرحم الراحمين.» ثم قذفتْ به في اليم.","She then wished the child farewell and cried “Almighty God, you formed my baby ‘when it was nothing, a thing without a name.’ You fed him in the darkness of my womb and saw that he was smooth and even and perfectly formed. In fear of that wicked tyrant I entrust him to your care. I beg you shed your bounty upon him. Be with him. Never leave him, most merciful God!” She cast him into the sea."
"فصادف ذلك جري الماء بقوة المد فاحتمله من ليلته إلى ساحل الجزيرة الأخرى المتقدم ذكرها، وكان المد يصل في ذلك الوقت إلى موضع لا يصل إليه بعدُ علمٌ، فأدخله الماء بقوته إلى أجمة ملتفة الشجر عذبة التربة مستورة عن الرياح والمطر محجوبة عن الشمس تَزَاور عنها إذا طلعت وتميل إذا غربت.","A powerful current caught the box and brought it that very night to the coast of the other island of which I spoke. At that very moment the tide reached a height to which it would not return for another year. It lodged the little ark in a pleasant thicket, thick with shady cover, floored by rich loam, sheltered from wind and rain and veiled from the sun, which “gently slanted off it when it rose and set.”"
"ثم أخذ الماء في الجَزْر، وبقي التابوت في ذلك الموضع وعلت الرمال بهبوب الرياح وتراكمت بعد ذلك حتى سدت باب الأجمة على التابوت، وردمت مدخل الماء إلى تلك الأجمة. فكان المد لا ينتهي إليها.","The tide then began to ebb, leaving the ark high and dry. Sand drifted up with gusts of the breeze, damming the watercourse into the thicket so the water could not reach it."
وكانت مسامير التابوت قد قلقت وألواحه قد اضطربت عند رمي الماء في تلك الأجمة.,The nails of the box had been loosened and the boards knocked akilter by the pounding of the surf against them in the thicket.
"فلما اشتدَّ الجوع بذلك الطفل بكى واستغاث، وعالج الحركة، فوقع صوته في أذن ظبية فُقد طلاها، خرج من كِناسه فحمله العقاب. فلما سمعت الصوت ظنته ولدها، فتتبعت الصوت وهي تتخيل طلاها حتى وصلت إلى التابوت،","When the baby had gotten very hungry, he began to cry and struggle. The sound of his voice reached a doe; and taking it for the call of her lost fawn, she followed the sound until she came to the ark."
"ففحصت عنه بأظلافها وهو ينوء ويئن من داخله حتى طار عن التابوت لوح من أعلاه، فحنَّت الظبية وَحَنت عليه ورئمت به، وألقمته حلمتها وأروته لبنًا سائغًا، وما زالت تتعهده وتربيه وتدفع عنه الأذى. هذا ما كان من ابتداء أمره عند من ينكر التولد.","She prodded with her hoof and the baby fought from inside until one of the top boards came loose. The doe felt sorry for the infant and nuzzled him tenderly. She gave him her udder and let him drink her own delicious milk. She became his constant nurse, caring for him, raising him and protecting him from harm. This, according to those who deny spontaneous generation, is the story of his origin."
ونحن نَصِف هنا كيف تربَّى وكيف انتقل في أحواله حتى يبلغ المبلغ العظيم.,In a moment I shall tell you how he grew up and progressed from one phase to the next until he reached his remarkable goal.
"وأما الذين زعموا أنه تولَّد من الأرض، فإنهم قالوا إن بطنًا من أرض تلك الجزيرة تخمرت فيه طينه على مر السنين والأعوام حتى امتزج فيها الحار بالبارد والرطب باليابس امتزاج تكافؤ وتعادل في القوى.","But first I should say that those who claim Hayy came into being spontaneously say that in a pocket of earth on that island, over the years, a mass of clay worked until hot and cold, damp and dry were blended in just the proper way, their strengths perfectly balanced."
"وكانت هذه الطينة المتخمرة كبيرة جدًّا، وكان بعضها يفضل بعضًا في اعتدال المزاج والتهيؤ، وكان الوسط منها أعدل ما فيها وأتمه مشابهةً بمزاج الإنسان، فتمخضت تلك الطينة وحدث فيها شبه نفاخات الغليان لشدة لزوجتها، وحدث في الوسط منها لزوجة ونفاخة صغيرة جدًّا منقسمة بقسمين بينهما حجاب رقيق، ممتلئة بجسم لطيف هوائي في غاية من الاعتدال اللائق به، فتعلَّق به عند ذلك الروح الذي هو من أمر الله تعالى وتشبث به تشبثًا يعسر انفصاله عنه عند الحس وعند العقل، إذ قد تبيَّن أن هذا الروح دائم الفيضان من عند الله — عز وجل — وأنه بمنزلة نور الشمس الذي هو دائم الفيضان على العالم.","This fermented mass of clay was quite large, and parts of it were in better equilibrium than others, more suited than the rest for becoming human gametes. The midmost part was the best proportioned and bore the most perfect equivalence to the makeup of a man. The clay labored and churned, and in the viscous mass there formed what looked like bubbles in boiling water. In the very middle formed a tiny bubble divided in half by a delicate membrane and filled by a fine gaseous body, optimally proportioned for what it was to be. With it at that moment joined “the spirit which is God’s,” in a bond virtually indissoluble, not only in the purview of the senses, but also in that of the mind. For it should be clear that this spirit emanates continuously from God—glory be to Him. It is analogous to the sunlight that constantly floods the earth."
"فمن الأجسام ما لا يستضيء به وهو الهواء الشفاف جدًّا، ومنها ما يستضيء به بعض استضاءة وهي الأجسام الكثيفة غير الصقيلة، وهذه تختلف في قبول الضياء، وتختلف بحسب ذلك ألوانها.","Some objects, like transparent air, are not lit by it at all. Others, opaque but not shiny, are lit partially, differing in color according to their different receptivities."
"ومنها ما يستضاء به غاية الاستضاءة وهي الأجسام الصقيلة كالمرآة ونحوها، فإذا كانت هذه المرآة مقعرة على شكل مخصوص حدث فيها النار لإفراط الضياء.","Still others, polished bodies such as mirrors, take up light maximally; and if these mirrors have a certain concave form, fires start in them from the concentrated rays of light."
"وكذلك الروح الذي هو من أمر الله تعالى فياض أبدًا على جميع الموجودات، فمنها ما لا يظهر أثره فيه لعدم الاستعداد، وهي الجمادات التي لا حياة لها وهذه بمنزلة الهواء في المثال المتقدم، ومنها ما يظهر أثره فيه وهي أنواع النبات بحسب استعداداتها، وهذه بمنزلة الأجسام الكثيفة في المثال المتقدم، ومنها ما يظهر أثره فيه ظهورًا كثيرًا، وهي أنواع الحيوان، وهي بمنزلة الصقيلة في المثال المتقدم.","The same holds for the spirit which flows eternally from God’s word to all that is. Some beings, lacking any aptitude to receive it, show no trace of it. These, corresponding to the air of the analogy, are the lifeless, inanimate objects. Others, that is plant species, show its influence to varying degrees in proportion to their capacities; they are analogous to opaque objects. Still others show its impact greatly; these are animal species, and they correspond to the shiny objects of the analogy."
ومن هذه الأجسام الصقيلة ما يزيد على شدة قبوله لضياء الشمس أنه يحكي صورة الشمس ومثالها.,"The most reflective body, far outshining all others, is the one that mirrors in itself the image and pattern of the sun."
"وكذلك أيضًا من الحيوان ما يزيد على شدة قبوله للروح أنه يحكي الروحَ ويتصور بصورته، وهو الإنسان خاصة، وإليه الإشارة بقوله ﷺ: «إن الله خلق آدم على صورته.»","In the same way with animals, the one that best takes on the spirit in himself and is formed and modelled in its pattern is man. There is reference to this in the words of the Prophet-God bless him and grant him peace—“God created Adam in His own image”."
"فإن قويت فيه هذه الصورة حتى تتلاشى جميع الصور في حقها، وتبقى هي وحدها وتحرق سبحات نورها كل ما أدركته؛ كانت حينئذٍ بمنزلة المرآة المنعكسة على نفسها المحرقة لسواها، وهذا لا يكون إلا للأنبياء صلوات الله عليهم أجمعين.","If this image grows so strong in a man that its reality eclipses all other forms, the splendor of its light setting afire all it apprehends so that it alone remains, then it is like the mirror reflecting on itself, burning everything else. This happens only to prophets, the blessings of God upon them."
"وهذا كله مبيَّن في مواضعه اللائقة به، فليُرجع إلى تمام ما حَكَوه من وصف ذلك التخلق.",But all this will be made clear in due course. Let us return to the story they tell of his creation.
"قالوا: فلما تعلَّق هذا الروح بتلك القرارة خضعت له جميع القوى وسجدت له، وسُخِّرت بأمر الله تعالى في كمالها، فتكوَّن بإزاء تلك القرارة نفاخة أخرى منقسمة إلى ثلاث قرارات بينهما حجب لطيفة ومسالك نافذة وامتلأت بمثل ذلك الهوائي الذي امتلأت منه القرارة الأولى إلا أنه ألطف منه.","They say, “When this spirit was linked with that chamber all the powers of the latter submitted totally to it, bowing to its sway according to God’s command. Then opposite this chamber a second bubble formed, divided into three chambers, separated by thin membranes and joined by tiny ducts. This also was filled by gaseous material, like that which filled the first, only not as fine."
وسكن في هذه البطون الثلاثة المنقسمة من واحدة طائفة من تلك القوى التي خضعت له وتوكلت بحراستها والقيام عليها وإنهاء ما يطرأ فيها من دقيق الأشياء وجليلها إلى الروح الأول المتعلق بالقرارة الأولى.,"In these three sacs, partitioned within one, lodged some of the powers that had subordinated themselves to the spirit, entrusted with its preservation and care and with relaying to this first spirit, linked with the first chamber, all their experiences, from the subtlest to the most magnificent."
"وتكوَّن أيضًا بإزاء هذه القرارة من الجهة المقابلة للقرارة الثانية، نفاخة ثالثة مملوءة جسمًا هوائيًّا إلا أنه أغلظ من الأولين. وسكن في هذه القرارة فريق من تلك القوى الخاضعة وتوكلت بحفظها والقيام عليها، فكانت هذه القرارة الأولى والثانية والثالثة أول ما تخلَّق من تلك الطينة المتخمرة على الترتيب الذي ذكرناه.","Next to the first, opposite the second, a third bubble formed, filled with its own gaseous matter, denser than either of the others, and with its own set of subordinate faculties, devoted to the protection and sustenance of the spirit. “These chambers, first, second, and third, in the order I have given, were the first to be created in that working mass of clay."
"واحتاج بعضها إلى بعض، فالأولى منها حاجتها إلى الآخرين حاجةَ استخدام وتسخير.","Although they all depend on each other, the dependence of the first on the other two is its need for service, but their dependence on the first is the reliance of the led on their leader or the controlled on what controls them."
"والأخريان حاجتهما إلى الأولى حاجة المرءوس إلى الرئيس والمدبَّر إلى المدبِّر، وكلاهما لما يتخلق بعدهما من الأعضاء رئيس لا مرءوس. وأحدهما، وهو الثاني، أتمُّ رئاسة من الثالث، فالأول منهما لمَّا تعلَّق به الروح واشتعلت حرارته تشكَّل بشكل النار الصنوبري.","Still the second and third in their own right are masters, not servants, of all the organs formed after them; and the second has a fuller share of rule than the third. The first has the conical shape of a flame, since it is linked to the spirit and burns with the spirit’s heat."
"وتشكل أيضًا الجسم الغليظ المحدق به على شكله وتكون لحمًا صلبًا وصار عليه غلاف صفيق يحفظه، وسمي العضو كله قلبًا واحتاج لما يتبع الحرارة من التحليل وإفناء الرطوبات إلى شيء يمده ويغذوه ويُخْلِف ما تحلل منه على الدوام وإلا لم يَطُلْ بقاؤه.",The dense matter by which it was enclosed took on the same shape; it developed into solid flesh and was in turn covered by a tough protective envelope of skin. The whole organ is what we call the heart. “To survive the heart needed to be fed and maintained to replenish the juices which constantly broke down in the terrific heat.
"واحتاج أيضًا إلى يحسَّ بما يلائمه فيجتذبه وبما يخالفه فيدفعه، فتكفَّل له العضو الواحد بما فيه من القوى التي أصلها منه بحاجته الواحدة، وتكفَّل له العضو الآخر بحاجته الأخرى.","It needed also a sense of what was good and bad for it so it would be drawn to the one and reject the other. The first need was delegated to one organ with powers designed to serve that need, and its second to another."
"وكان المتكفِّل بالحس هو الدماغ، والمتكفل بالغذاء هو الكبد.",Sensation was in charge of the brain and nutrition of the liver.
"واحتاج كل واحد من هذين إليه في أن يمدها بحرارته وبالقوى المخصوصة بهما التي أصلها منه فانتسجت بينهما لذلك كله مسالك وطرق، بعضها أوسع من بعض بحسب ما تدعو إليه الضرورة فكانت الشرايين والعروق.","Each depends on the heart not only because its heat keeps them alive, but also because their specialized powers originate there. Meanwhile ducts and passages were woven between them and the heart, some wider than others, depending on the need. These were the veins and arteries.”"
"ثم ما زالوا يصفون الخلقة كلها، والأعضاء بجملتها، على حسب ما وصفه الطبيعيون في خلقة الجنين في الرحم، لم يغادروا من ذلك شيئًا إلى أن كمل خلقه وتمت أعضاؤه وحصل في حدِّ خروج الجنين من البطن.","So, neglecting nothing, they go on to describe the whole anatomy and all the organs, as physiologists describe the formation of a foetus in the womb, up to the termination of the development process when all the parts were fully formed and the embryo was ready to be born."
"واستعانوا في وصف كمال ذلك بتلك الطينة الكبيرة المتخمرة وأنها كانت قد تهيأت لأن يتخلَّق منها كل ما يحتاج إليه في خلق الإنسان من الأغشية المجلِّلة لجملة بدنه وغيرها، فلما كمُل انشقت عنه تلك الأغشية بشبه المخاض وتصدع باقي الطينة إذ كان قد لحقه الجفاف.","In accounting for the success of this metamorphosis they rely heavily on their mass of fermenting clay and on its suitability to be formed into all the protective membranes and the like which would be needed in the forming of a man. When the embryo was ready these coverings were sloughed off as if in labor; and the clay, which had already begun to dry, cracked open."
ثم استغاث ذلك الطفل عند فناء مادة غذائه واشتداد جوعه فلبته ظبية فقدت طلاها.,"His food supply thus vanishing, the newborn infant got hungrier and hungrier and began to cry, whereupon the doe with the lost fawn responded."
"ثم استوى ما وصفه هؤلاء بعد هذا الموضع وما وصفته الطائفة الأولى في معنى التربية، فقالوا جميعًا: إن الظبية التي تكفَّلت به وافقت خصبًا ومرعًى أثيثًا، فكثر لحمها ودر لبنها، حتى قامت بغذاء ذلك الطفل أحسن قيام.","From this point on both factions give interchangeable versions of his upbringing. They agree that the doe that cared for him was richly pastured, so she was fat and had plenty of milk, to give the baby the best possible nourishment."
وكانت معه لا تبعد عنه إلا لضرورة الرعي.,"She stayed with him, leaving only when necessary to graze."
وأَلِف الطفل تلك الظبية حتى كان بحيث إذا هي أبطأت عنه اشتد بكاؤه فطارت إليه.,"The baby grew so fond of her he would cry if she were late, and then she would come rushing back."
"وكان من جملة ما ألقى فيها على سبيل الاختبار لقوتها شيء من أصناف الحيوانات البحرية — كان قد ألقاه البحر إلى ساحله — فلما أنضجت ذلك الحيوان وسطع قتاره تحركت شهوته إليه فأكل منه شيئًا فاستطابه فاعتاد بذلك أكل اللحم، فصرف الحيلة في صيد البر والبحر حتى مهر في ذلك.","One thing he threw in, purely to experiment with its propensity to burn, was a fish that had been cast up on the beach by the sea. As it began to roast and the savory odors spread, his appetite was aroused. He nibbled it and liked it. In this way he learned to eat meat and practiced hunting and fishing until he became quite skilled in both."
"ولم يكن بتلك الجزيرة شيء من السباع العادية، فتربَّى الطفل ونما واغتذى بلبن تلك الظبية إلى أن تم له حولان، وتدرَّج في المشي وأثغر فكان يتبع تلك الظبية وكانت هي ترفق به وترحمه وتحمله إلى مواضع فيها شجر مثمر، فكانت تطعمه ما تساقط من ثمراتها الحلوة النضيجة وما كان منها صلب القشر كسرته له بطواحنها، ومتى عاد إلى اللبن أروته، ومتى ظمئ إلى الماء أوردته، ومتى ضحا ظللته ومتى خصر أدفأته، وإذا جنَّ الليل صرفته إلى مكانه الأول وجللته بنفسها وبريش كان هناك مما مُلئ به التابوت أولًا في وقت وضع الطفل فيه.","There were no beasts of prey on the island. So the child grew, nourished by its mother-doe’s milk, until he was two years old. By then he’d learned to walk; and, having his teeth, he took to following the doe on her foraging expeditions. She treated him gently and tenderly, taking him where fruit trees grew and feeding him the sweet, ripe fruits that fell from them. The hard-shelled ones she cracked between her teeth, or if he wanted to go back for a while to milk she let him. She brought him to water when he was thirsty; and when the sun beat down she shaded him. When he was cold she warmed him, and at nightfall she would bring him back to the spot where she had found him, nestling him to herself among the feathers with which the little ark had been cushioned."
وكان في غدوهما ورواحهما قد زلفهما زبزب يسرح ويبيت معهما حيث مبيتهما.,When they went out to forage and came back to rest they were accompanied by a troop of deer that went along to graze and stayed the night near where they slept.
"فما زال الطفل مع الظباء على تلك الحال، يحكي نغمتها بصوته حتى لا يكاد يفرَّق بينهما.","Thus the child lived among the deer, imitating their calls so well that eventually his voice and theirs could hardly be distinguished."
وكذلك كان يحكي جميع ما يسمعه من أصوات الطير وأنواع سائر الحيوان محاكاة شديدة لقوة انفعاله لما يريده. وأكثر ما كانت محاكاته لأصوات الظباء في الاستصراخ والاستئلاف والاستدعاء والاستدفاع؛ إذ للحيوانات في هذه الأحوال المختلفة أصوات مختلفة فألفته الوحوش وألفها ولم تنكره ولا أنكرها.,"In the same way he imitated all the bird calls and animal cries he heard with amazing accuracy, but most often he would mimic the calls of the deer for alarm, courtship, summons or defense—for animals have different cries for these different contingencies. The animals were used to him and he was used to them, so they were not afraid of each other."
فلما ثبت في نفسه أمثلة الأشياء بعد مغيبها عن مشاهدته حدث له نزوع إلى بعضها وكراهية لبعض.,"Hayy discovered in himself an aversion toward some things and an attraction to others even after the things themselves were no longer objects of his immediate experience, for their images were fixed in his mind."
"وكان في ذلك كله ينظر إلى جميع الحيوانات فيراها كاسية بالأوبار والأشعار وأنواع الريش، وكان يرى ما لها من العَدْو وقوة البطش وما لها من الأسلحة المعدة لمدافعة من ينازعها مثل القرون والأنياب والحوافر والصياصي والمخالب.","He observed the animals from this perspective and saw how they were clothed in fur, hair or feathers, how swiftly they could run, how fiercely they could fight, and what apt weapons they had for defense against any attacker—horns, tusks, hooves, spurs and claws."
ثم يرجع إلى نفسه فيرى ما به من العري وعدم السلاح وضعف العدو وقلة البطش عندما كانت تنازعه الوحوش أكل الثمرات وتستبد بها دونه وتغلبه عليها فلا يستطيع المدافعة عن نفسه ولا الفرار عن شيء منها.,Then he looked back at himself and realized how naked and defenseless he was. He was a weak runner and not a good fighter. When the animals grappled with him for a piece of fruit they usually wrested it from him and got away with it. He could not defend himself or even run away.
"وكان يرى أترابه من أولاد الظباء قد نبتت لها قرون بعد أن لم تكن وصارت قوية بعد ضعفها في العَدْو، ولم يرَ لنفسه شيئًا من ذلك، فكان يفكر في ذلك ولا يدري ما سببه.",Hayy saw the fawns his age sprout horns from nowhere and grow strong and swift. But in himself he could discover no such change. He wondered about this but could not fathom the cause.
وكان ينظر إلى ذوي العاهات والخلق الناقص فلا يجد لنفسه شبيهًا فيهم.,No maimed or deformed animal he could find was at all like himself.
"وكان أيضًا ينظر إلى مخارج الفضول من سائر الحيوانات فيراها مستورة، أما مخرج أغلظ الفضلتين فبالأذناب وأما مخرج أرقِّهما فبالأوبار وما أشبهها، ولأنها كانت أيضًا أخفى قضبانًا منه، فكان ذلك كله يكربه ويسوءه.","All other animals, he observed, had covered outlets for their bodily wastes—the solid by a tail, the liquid by fur or the like. And the fact that the private parts of an animal were better concealed than his own disturbed him greatly and made him very unhappy."
"فلما طال همه في ذلك كله وهو قد قارب سبعة أعوام ويئس من أن يكمل له ما قد أضرَّ به نقصه، اتخذ من أوراق الشجر العريضة شيئًا جعل بعضه خلفه وبعضه قدامه، وعمل من الخوص والحلفاء شبه حزام على وسطه علَّق به تلك الأوراق، فلم يلبث إلا يسيرًا حتى ذوى ذلك الورق وجف وتساقط عنه.","When he was nearly seven and had finally lost hope of making up the deficiencies which so disturbed him he took some broad leaves from a tree and put them on, front and back. Then out of plaits of palms and grass he made something like a belt about his middle and fastened his leaves to it. But he had hardly worn it at all when the leaves withered and dried and, one by one, fell out."
فما زال يتخذ غيره ويخصف بعضه ببعض طاقات مضاعفة وربما كان ذلك أطول لبقائه إلا أنه على كل حال قصير المدة.,"So he had constantly to get new ones and work them in with the old in bundles. This might make it hold up a while longer, but still it lasted only a very short time."
"واتخذ من أغصان الشجر عِصيًا وسوَّى أطرافها وعدل متنها. وكان يهش بها على الوحوش المنازعة له، فيحمل على الضعيف منها ويقاوم القوي منها، فنبل بذلك قدره عند نفسه بعض نباله.","He got some good sticks from a tree, balanced the shafts and sharpened the points. These he would brandish at the animals that menaced him. He could now attack the weaker ones and hold his own against the stronger."
ورأى أن ليده فضلًا كثيرًا على أيديها؛ إذ أمكن له بها ستر عورته واتخاذ العصي التي يدافع بها عن حوزته؛ ما استغنى به عما أراده من الذنب والسلاح الطبيعي.,"His self-esteem rose a bit as he observed how superior his hands were to those of an animal. They enabled him to cover his nakedness and to make sticks for self-defense, so he no longer needed natural weapons or the tail he had longed for."
"وفي خلال ذلك ترعرع وأربى على السبع سنين، وطال به العناء في تجديد الأوراق التي كان يستتر بها، فكانت نفسه عند ذلك تنازعه إلى اتخاذ ذَنب من ذنوب الوحوش الميتة ليعلقه على نفسه إلا أنه كان يرى أحياء الوحوش تتحامى ميتها وتفر عنه فلا يتأتى له الإقدام على ذلك الفعل إلى أن صادف في الأيام نسرًا ميتًا فهدي إلى نيل أمله منه واغتنم الفرصة فيه، إذ لم ير للوحوش عنه نفرةً","All the while, he was growing, and soon he was seven. The chore of getting new leaves to cover himself was taking too long, and he had an urge to get the tail of some dead animal and fasten that on instead. But he had noticed that the living wildlife shunned the bodies of the dead and fled from them. So he could not go ahead with his plan, until one day he came upon a dead eagle. Seeing that the animals had no aversion to it, he snatched the opportunity to put his idea into effect."
